entry_time,exit_time,entry_price,exit_price,side,size,pnl,fees,exit_reason
2022-05-01 16:00:00,2022-05-01 20:00:00,36292.295015285046,36673.54557442062,short,0.8266217385085403,-375.4651499999999,60.315149999999505,StopLoss
2022-05-02 08:00:00,2022-05-02 12:00:00,34883.26509060829,34517.165223482356,long,0.8277208132610683,-360.4726603724966,57.44418062024722,StopLoss
2022-05-02 12:00:00,2022-05-02 16:00:00,34275.608879895335,33915.88636470083,long,0.8108444306932296,-346.97169218014744,55.29269413972466,StopLoss
2022-05-02 20:00:00,2022-05-03 00:00:00,33137.82821685794,32790.04670972202,long,0.8072729243835273,-333.9763827024978,53.22178839037162,StopLoss
2022-05-03 00:00:00,2022-05-03 08:00:00,32227.28391892538,33821.72879081422,long,0.7989920096590409,1221.1760790800645,52.77263340095037,TakeProfit
2022-05-03 16:00:00,2022-05-03 20:00:00,34232.19602269835,34591.805241916794,short,0.8592165855200206,-368.1169288268004,59.1347233684082,StopLoss
2022-05-04 00:00:00,2022-05-05 04:00:00,35401.30871126352,35773.19945927534,short,0.7996461381097834,-354.29542103684616,56.91442059043462,StopLoss
2022-05-05 08:00:00,2022-05-05 16:00:00,36380.80282167978,36762.98315532153,short,0.748901382562332,-340.99286269645995,54.7774824440196,StopLoss
2022-05-06 04:00:00,2022-05-06 12:00:00,36414.053934063624,34610.64791297912,short,0.7201245703451938,1247.5303531899178,51.14663290149715,TakeProfit
2022-05-06 16:00:00,2022-05-06 20:00:00,34558.5681034982,34195.87593125199,long,0.867085867493774,-374.10126355522686,59.61600674992351,StopLoss
2022-05-06 20:00:00,2022-05-07 00:00:00,32445.061117208494,32104.550200783393,long,0.8889778973910035,-360.0898562691447,57.383177746874956,StopLoss
2022-05-07 00:00:00,2022-05-07 04:00:00,31683.316067459542,31350.799665331557,long,0.8762552690122225,-346.6032254360184,55.233976038384434,StopLoss
2022-05-07 04:00:00,2022-05-07 08:00:00,31271.587260705124,30943.391952404025,long,0.8545413043731892,-333.6217163331036,53.165269488321144,StopLoss
2022-05-07 08:00:00,2022-05-07 12:00:00,31467.29429253063,31137.045038930522,long,0.8174200673074495,-321.1264103760968,51.17404327006139,StopLoss
2022-05-07 12:00:00,2022-05-07 16:00:00,31145.980244986724,30819.10318231559,long,0.7949217970572834,-309.09909754817966,49.25739547283565,StopLoss
2022-05-08 00:00:00,2022-05-08 04:00:00,29678.053147469214,31146.374826940257,long,0.8029947643935391,1130.2129238500927,48.841697210682725,TakeProfit
2022-05-08 16:00:00,2022-05-09 20:00:00,30244.412159384086,28746.557647190588,short,0.9000657682782817,1295.0718197260965,53.09575256043556,TakeProfit
2022-05-11 08:00:00,2022-05-12 00:00:00,30885.90565465358,29356.28117710686,short,1.0071641049920983,1479.9090997191718,60.67376818317677,TakeProfit
2022-05-12 00:00:00,2022-05-12 04:00:00,29684.42224696093,29372.88423547908,long,1.19749350447056,-443.7854860494401,70.720740904249,StopLoss
2022-05-12 04:00:00,2022-05-12 12:00:00,29049.638872997046,28744.762913024944,long,1.177830351562597,-427.16415969090485,68.07200057398026,StopLoss
2022-05-12 12:00:00,2022-05-12 16:00:00,29252.10169606923,28945.100888768986,long,1.1258696633035992,-411.1653604284606,65.52246487940316,StopLoss
2022-05-13 00:00:00,2022-05-13 04:00:00,29814.352753833355,29501.451121681876,long,1.0632650008514661,-395.76577243417273,63.0684182582051,StopLoss
2022-05-13 20:00:00,2022-05-14 00:00:00,30123.56603381672,30440.014095001963,short,1.0129365313068805,-381.88886421497784,61.34706277921192,StopLoss
2022-05-14 12:00:00,2022-05-14 16:00:00,31959.93589444029,32295.675021011382,short,0.9188877597639903,-367.55026824639725,59.04369436636599,StopLoss
2022-05-14 16:00:00,2022-05-14 20:00:00,32273.260795437396,30674.927554543356,short,0.8758006595819344,1344.6912417303304,55.130064876400986,TakeProfit
2022-05-15 08:00:00,2022-05-15 12:00:00,29884.24169794817,31362.76455595416,long,1.0808042962292241,1531.7978295155874,66.1960274903958,TakeProfit
